Date,kurs
8/4/2020,14533.1862
8/5/2020,14505.2401
8/6/2020,14569.9821
8/7/2020,14713.6434
8/8/2020,14713.6377
8/9/2020,14680.5518
8/10/2020,14635.1983
8/11/2020,14677.9823
8/12/2020,14744.411
8/13/2020,14727.4227
8/14/2020,14916.9483
8/15/2020,14916.8351
8/16/2020,14753.8027
8/17/2020,14743.5501
8/18/2020,14838.5528
8/19/2020,14876.8789
8/20/2020,14740.1723
8/21/2020,14763.7384
8/22/2020,14763.7384
8/23/2020,14773.1486
8/24/2020,14714.8698
8/25/2020,14637.8848
8/26/2020,14638.6465
8/27/2020,14642.9999
8/28/2020,14534.7498
8/29/2020,14534.7498
8/30/2020,14619.8448
8/31/2020,14539.0734
9/1/2020,14651.6328
9/2/2020,14753.1495
9/3/2020,14732.68
9/4/2020,14753.9582
9/5/2020,14753.9587
9/6/2020,14752.2912
9/7/2020,14743.727
9/8/2020,14850.1908
9/9/2020,14778.7337
9/10/2020,14862.702
9/11/2020,15003.4556
9/12/2020,15003.4556
9/13/2020,14868.2715
9/14/2020,14862.4905
9/15/2020,14846.3697
9/16/2020,14807.1285
9/17/2020,14815.5671
9/18/2020,14836.1675
9/19/2020,14836.1675
9/20/2020,14722.6984
9/21/2020,14705.0992
9/22/2020,14752.0832
9/23/2020,14827.1944
9/24/2020,14887.6707
9/25/2020,14854.479
9/26/2020,14854.479
9/27/2020,14849.3196
9/28/2020,14887.1676
9/29/2020,14876.2816
9/30/2020,14857.2916
10/1/2020,14824.9423
10/2/2020,14851.2968
10/3/2020,14852.4364
10/4/2020,14850.7981
10/5/2020,14790.1352
10/6/2020,14858.4797
10/7/2020,14706.6667
10/8/2020,14690.1682
10/9/2020,14685.7554
10/10/2020,14678.283
10/11/2020,14696.1467
10/12/2020,14678.463
10/13/2020,14687.0012
10/14/2020,14704.2222
10/15/2020,14669.7714
10/16/2020,14764.3397
10/17/2020,14764.3397
10/18/2020,14693.0988
10/19/2020,14702.2551
10/20/2020,14552.123
10/21/2020,14642.651
10/22/2020,14647.744
10/23/2020,14653.8818
10/24/2020,14653.8818
10/25/2020,14670.1112
10/26/2020,14652.3299
10/27/2020,14658.6672
10/28/2020,14697.9842
10/29/2020,14661.5179
10/30/2020,14590.9779
10/31/2020,14590.4521
11/1/2020,14639.2854
11/2/2020,14610.6112
11/3/2020,14488.3066
11/4/2020,14522.7612
11/5/2020,14386.4489
11/6/2020,14214.8413
11/7/2020,14215.3735
11/8/2020,14191.5907
11/9/2020,14279.4102
11/10/2020,14056.3987
11/11/2020,14070.0565
11/12/2020,14144.5551
11/13/2020,14161.7475
11/14/2020,14161.7488
11/15/2020,14121.3813
11/16/2020,14083.0002
11/17/2020,14043.1784
11/18/2020,14111.1712
11/19/2020,14171.6331
11/20/2020,14183.1288
11/21/2020,14182.4256
